canaries_number,lora_rank,random_seed,perplexity,exposure
0,1,13,16.37718391418457,
1,1,13,10.709285736083984,
2,1,13,10.2210054397583,
8,1,13,9.429616928100586,
16,1,13,7.446187496185303,
32,1,13,5.364412307739258,
64,1,13,3.0837066173553467,
128,1,13,1.764312744140625,
0,1,7,27.372159957885742,
1,1,7,16.730587005615234,
2,1,7,15.322315216064453,
8,1,7,13.432229042053223,
16,1,7,10.281082153320312,
32,1,7,6.652350425720215,
64,1,7,3.372887134552002,
128,1,7,1.5715445280075073,
0,1,81,16.484670639038086,
1,1,81,9.253695487976074,
2,1,81,8.02733325958252,
8,1,81,8.508365631103516,
16,1,81,6.358820915222168,
32,1,81,4.462141513824463,
64,1,81,2.9222912788391113,
128,1,81,1.4727964401245117,
0,1,17,64.01331329345703,
1,1,17,26.460002899169922,
2,1,17,23.803569793701172,
8,1,17,19.56937599182129,
16,1,17,13.432748794555664,
32,1,17,7.114887714385986,
64,1,17,2.339759349822998,
128,1,17,1.2576062679290771,
0,1,75,60.279170989990234,
1,1,75,32.42342758178711,
2,1,75,28.955442428588867,
8,1,75,28.433324813842773,
16,1,75,22.39192771911621,
32,1,75,13.694768905639648,
64,1,75,5.779267311096191,
128,1,75,1.645772933959961,
0,1,90,102.26395416259766,
1,1,90,49.3410530090332,
2,1,90,44.88689041137695,
8,1,90,39.03385925292969,
16,1,90,26.30522918701172,
32,1,90,15.553312301635742,
64,1,90,5.240984916687012,
128,1,90,1.7627359628677368,
0,1,0,41.178993225097656,
1,1,0,27.640764236450195,
2,1,0,23.621641159057617,
8,1,0,27.04302978515625,
16,1,0,16.567514419555664,
32,1,0,9.333794593811035,
64,1,0,4.4927568435668945,
128,1,0,1.7448616027832031,
0,1,10,74.60643768310547,
1,1,10,26.004783630371094,
2,1,10,23.535400390625,
8,1,10,24.587310791015625,
16,1,10,18.301485061645508,
32,1,10,12.33446979522705,
64,1,10,5.778217315673828,
128,1,10,2.3369266986846924,
0,1,36,27.398406982421875,
1,1,36,13.900755882263184,
2,1,36,12.867420196533203,
8,1,36,11.727666854858398,
16,1,36,10.343683242797852,
32,1,36,7.971541881561279,
64,1,36,5.171894073486328,
128,1,36,1.9919151067733765,
0,1,99,36.0149040222168,
1,1,99,18.797264099121094,
2,1,99,24.487943649291992,
8,1,99,17.477031707763672,
16,1,99,12.99599838256836,
32,1,99,7.503620624542236,
64,1,99,3.0111124515533447,
128,1,99,1.3696030378341675,
